variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5103,35,679,0.4565537555228277,0.45145182716883636,0.7042595357229502,0.4134837266744479
T0,2026,5103,36,679,0.5758468335787923,0.5504032342073774,0.6199589638322022,0.5770416020221533
T0,2026,5103,37,679,0.5625920471281296,0.5409743988964688,0.6361703553370067,0.5174805414494207
T0,2026,5103,38,679,0.508100147275405,0.4870962186873241,0.694664003505798,0.4104994571973213
T0,2026,5103,39,679,0.5802650957290133,0.5553978011969816,0.6209602240302953,0.5875576801362772
T0,2026,5103,40,679,0.5684830633284241,0.5506061232380752,0.6466631060013539,0.5065391951126568
T0,2026,5103,41,679,0.5154639175257731,0.5064484148992129,0.6705966189788964,0.46470229126992063
T0,2026,5103,42,679,0.5787923416789397,0.5608680377649347,0.6140432102339608,0.5947582019938199
T0,2026,5103,43,679,0.49779086892488955,0.49043366583293735,0.6653980853280193,0.5029714501613067
T0,2026,5103,44,679,0.4491899852724595,0.4413106010318043,0.7021555899915358,0.4357057863351968
T0,2026,5103,45,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,46,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,47,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,48,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,49,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,50,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,51,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,52,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,53,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5103,54,679,0.5758468335787923,0.5517595084790708,0.6152097280843619,0.5932257151770436
T0,2026,5103,55,679,0.5478645066273933,0.5268822031509928,0.6420087090999284,0.5198783324273965
T0,2026,5103,56,679,0.5007363770250368,0.48313811670530504,0.6906384196302501,0.4239048530644909
T0,2026,5103,57,679,0.5493372606774669,0.5233166286689321,0.6254350662845927,0.5832747913964327
T0,2026,5103,58,679,0.5522827687776142,0.5337442451728166,0.6532187205526719,0.48790028704031796
T0,2026,5103,59,679,0.48748159057437407,0.47881984592765203,0.6910727391450149,0.39664916986471727
T0,2026,5103,60,679,0.5699558173784978,0.5551962937278472,0.6221760370287172,0.5691967495545456
T0,2026,5103,61,679,0.5154639175257731,0.5058037865512631,0.6666292359665673,0.4899805238425256
T0,2026,5103,62,679,0.45949926362297494,0.4542863942547485,0.697551262154846,0.4391018597150782
T0,2026,5104,0,679,0.5625920471281296,0.5368944567691794,0.6273735122801805,0.5707502698016685
T0,2026,5104,1,679,0.5478645066273933,0.5275457359231098,0.6486837769335956,0.5094436398627026
