variant,seed,mask_seed,missing_mode,position,span_fraction,n,infeasible_n,naturally_absent_n,support_negative,support_neutral,support_positive,mean_removed_steps_per_target_modality,actual_removed_observation_rate,actual_span_fraction,unique_mask_realizations_mean,one_feasible_start_n,accuracy,macro_f1,mae,pearson_r,delta_mae,delta_macro_f1
T0,2026,5102,audio,early,0.55,719,9,0,205,178,336,13.061196105702365,0.5495531177122104,0.5495531177122104,1.7023643949930458,277,0.6036161335187761,0.577928995247746,0.5916544264480368,0.6373769815619422,0.0,0.0
T0,2026,5102,audio,middle,0.15,722,6,0,206,180,336,3.5457063711911356,0.1512650675766175,0.1512650675766175,3.6315789473684212,9,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5102,audio,middle,0.35,722,6,0,206,180,336,8.317174515235457,0.35131822321010636,0.35131822321010636,3.660664819944598,4,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5102,audio,middle,0.55,722,6,0,206,180,336,13.016620498614959,0.5502705793652991,0.5502705793652991,3.662049861495845,10,0.6011080332409973,0.5760994679963543,0.592305118563763,0.6364759552717802,0.0,0.0
T0,2026,5102,audio,late,0.15,724,4,0,206,181,337,3.5386740331491713,0.15222842374353296,0.15173924326471158,3.505524861878453,7,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5102,audio,late,0.35,724,4,0,206,181,337,8.296961325966851,0.35172894635040997,0.3515275190944247,2.99585635359116,12,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5102,audio,late,0.55,724,4,0,206,181,337,12.98342541436464,0.5501317103615276,0.5501892610060948,1.8439226519337018,202,0.6022099447513812,0.5773605935188987,0.5906814978926221,0.6365084502548984,0.0,0.0
T0,2026,5102,vision,early,0.15,695,33,15,201,174,320,3.516546762589928,0.15636784939487064,0.15162910284899678,3.4532374100719423,9,0.5985611510791367,0.5737140667570815,0.593293422331913,0.6365204618554369,0.0,0.0
T0,2026,5102,vision,early,0.35,696,32,15,200,174,322,8.199712643678161,0.3560719287174098,0.3514217322550645,2.961206896551724,24,0.5991379310344828,0.5735579479000531,0.593547982559807,0.6352622020760248,0.0,0.0
T0,2026,5102,vision,early,0.55,691,37,15,199,172,320,12.878437047756874,0.5522527570994901,0.5496021750273932,1.6772793053545587,266,0.6005788712011577,0.5748432267884322,0.5947166997427188,0.6357676902470888,0.0,0.0
T0,2026,5102,vision,middle,0.15,695,33,15,199,174,322,3.497841726618705,0.15467654859829652,0.15107957931924487,3.646043165467626,10,0.5985611510791367,0.5734684817825142,0.5948819428039112,0.6360417621577845,0.0,0.0
T0,2026,5102,vision,middle,0.35,700,28,15,202,174,324,8.118571428571428,0.3526435791709381,0.35117329220756244,3.6585714285714284,8,0.5985714285714285,0.5736260358185871,0.5955106531296458,0.6356467048904482,0.0,0.0
T0,2026,5102,vision,middle,0.55,698,30,15,202,174,322,12.717765042979943,0.5494406086844373,0.5503155263821218,3.6074498567335245,11,0.5988538681948424,0.574044439181765,0.5961770386699278,0.635824289800067,0.0,0.0
T0,2026,5102,vision,late,0.15,692,36,15,199,173,320,3.4783236994219653,0.15409883427297288,0.1516506529271782,3.4826589595375723,7,0.5982658959537572,0.5738000765372918,0.594834052629209,0.6329116488028831,0.0,0.0
T0,2026,5102,vision,late,0.35,699,29,15,200,175,324,8.07725321888412,0.35090910002640013,0.351272858380252,2.9799713876967098,18,0.597997138769671,0.5724154351819463,0.5960082239944365,0.6348356009891865,0.0,0.0
T0,2026,5102,vision,late,0.55,699,29,15,200,175,324,12.659513590844062,0.5483647827646078,0.5502762229921914,1.8640915593705294,194,0.597997138769671,0.5724154351819463,0.5955313522587177,0.6350543609658318,0.0,0.0
T0,2026,5102,text+audio,early,0.15,723,5,0,206,180,337,3.5421853388658366,0.15174741188149082,0.15174741188149082,3.479944674965422,6,0.5698478561549101,0.5397402511586277,0.6220997868937905,0.5838641558220001,0.030601302143778875,-0.036646796037108964
T0,2026,5102,text+audio,early,0.35,723,5,0,206,180,337,8.307053941908714,0.3515238688211574,0.3515238688211574,2.876901798063624,22,0.5463347164591977,0.5238298588124499,0.6464097632989184,0.5118449024315787,0.05491127854890676,-0.05255718838328671
T0,2026,5102,text+audio,early,0.55,719,9,0,205,178,336,13.061196105702365,0.5495531177122104,0.5495531177122104,1.698191933240612,277,0.4909596662030598,0.46886818849435674,0.6918238593324998,0.4256853748676087,0.100169432884463,-0.10906080675338925
T0,2026,5102,text+audio,middle,0.15,722,6,0,206,180,336,3.5457063711911356,0.15126506757661753,0.1512650675766175,3.6274238227146816,9,0.5623268698060941,0.5349984310029569,0.6167926223654496,0.5888817629652711,0.024487503801686628,-0.0411010369933974
T0,2026,5102,text+audio,middle,0.35,722,6,0,206,180,336,8.317174515235457,0.35131822321010636,0.35131822321010636,3.655124653739612,4,0.5595567867036011,0.5375890527503231,0.6455755764386331,0.5115724477495771,0.05327045787487006,-0.03851041524603116
T0,2026,5102,text+audio,middle,0.55,722,6,0,206,180,336,13.016620498614959,0.5502705793652991,0.5502705793652991,3.64404432132964,10,0.4903047091412742,0.48437955418653955,0.685893337750534,0.4373611863743464,0.09358821918677096,-0.0917199138098147
T0,2026,5102,text+audio,late,0.15,724,4,0,206,181,337,3.542817679558011,0.15198383350412228,0.15173924326471158,3.5621546961325965,7,0.5662983425414365,0.5494725818676535,0.6172854523508917,0.5854250659395971,0.026603954458269574,-0.027888011651245215
T0,2026,5102,text+audio,late,0.35,724,4,0,206,181,337,8.308011049723756,0.3516282327224173,0.3515275190944247,2.9751381215469612,12,0.5151933701657458,0.5050703058811628,0.6555529005866683,0.5136368768323426,0.06487140269404612,-0.07229028763773593
T0,2026,5102,text+audio,late,0.55,724,4,0,206,181,337,13.000690607734807,0.5501604856838112,0.5501892610060948,1.8535911602209945,202,0.468232044198895,0.4620829553975885,0.697208087911922,0.4238940964723095,0.10652659001929987,-0.1152776381213102
T0,2026,5102,text+vision,early,0.15,695,33,15,201,174,320,3.5381294964028775,0.1539522742490956,0.15162910284899678,3.4244604316546763,9,0.5697841726618705,0.5428876598233232,0.6057851989706643,0.6081283352065078,0.01249177663875134,-0.030826406933758266
T0,2026,5102,text+vision,early,0.35,696,32,15,200,174,322,8.272988505747126,0.3532679993196249,0.3514217322550645,2.8951149425287355,24,0.5589080459770115,0.5305297091623602,0.6479763269809813,0.5043664634241324,0.05442834442117428,-0.0430282387376929
T0,2026,5102,text+vision,early,0.55,691,37,15,199,172,320,13.021707670043416,0.551234871861426,0.5496021750273932,1.7004341534008682,266,0.49782923299565845,0.478802204711389,0.6901182626979223,0.42750981888002154,0.09540156295520352,-0.09604102207704324
T0,2026,5102,text+vision,middle,0.15,695,33,15,199,174,322,3.5402877697841726,0.15311642407281847,0.15107957931924487,3.633093525179856,10,0.5582733812949641,0.5311096440428309,0.6236491328306335,0.5631344213671934,0.028767190026722345,-0.0423588377396833
T0,2026,5102,text+vision,middle,0.35,700,28,15,202,174,324,8.230714285714285,0.3514022647230337,0.35117329220756244,3.617142857142857,8,0.5471428571428572,0.5208596289921591,0.6628735138263021,0.48975893760510353,0.06736286069665631,-0.05276640682642797
T0,2026,5102,text+vision,middle,0.55,698,30,15,202,174,322,12.919770773638968,0.5508834230875985,0.5503155263821218,3.681948424068768,11,0.5071633237822349,0.5034355906264462,0.6801438664852035,0.4445094391185203,0.08396682781527576,-0.07060884855531879
T0,2026,5102,text+vision,late,0.15,692,36,15,199,173,320,3.53757225433526,0.15339331000152964,0.1516506529271782,3.505780346820809,7,0.5722543352601156,0.5559096847848033,0.6155214513399009,0.5919205459340116,0.020687398710691918,-0.01789039175248852
T0,2026,5102,text+vision,late,0.35,699,29,15,200,175,324,8.231759656652361,0.3515492681570093,0.351272858380252,2.9628040057224605,18,0.5064377682403434,0.4975601450289995,0.6632406064795493,0.5078037587154346,0.06723238248511276,-0.07485529015294679
T0,2026,5102,text+vision,late,0.55,699,29,15,200,175,324,12.880543633762517,0.5491296073090889,0.5502762229921914,1.848354792560801,194,0.46208869814020026,0.45700139359640257,0.6991550789157379,0.44049791580398484,0.10362372665702024,-0.11541404158554369
T0,2026,5102,audio+vision,early,0.15,695,33,15,201,174,320,3.535251798561151,0.15363245817388385,0.15162910284899678,3.4431654676258994,9,0.5985611510791367,0.5737140667570815,0.593293422331913,0.6365204618554369,0.0,0.0
